security_id,ticker,name,sector,price,market_cap_eok,listed_shares,float_shares,float_ratio,float_market_cap_eok
KRX:280360,280360,롯데웰푸드,업종 원천 미연결,145500,13393,9205000,2462000,26.8,3589.324
KRX:007310,007310,오뚜기,업종 원천 미연결,334000,13386,4008000,1440000,35.9,4805.574
KRX:361610,361610,SK아이이테크놀로지,업종 원천 미연결,16280,13315,81787000,37445000,45.8,6098.27
KRX:300720,300720,한일시멘트,업종 원천 미연결,16670,12260,73545000,21077000,28.7,3518.62
KRX:192080,192080,더블유게임즈,업종 원천 미연결,57200,12111,21173000,10293000,48.6,5885.946
KRX:004000,004000,롯데정밀화학,업종 원천 미연결,45700,11791,25800000,14242000,55.2,6508.632
KRX:017960,017960,한국카본,업종 원천 미연결,22550,11653,51676000,33405000,64.6,7527.838
KRX:000210,000210,DL,업종 원천 미연결,53600,11232,20956000,10591000,50.5,5672.16
KRX:000080,000080,하이트진로,업종 원천 미연결,15540,10899,70134000,30748000,43.8,4773.762
KRX:003240,003240,태광산업,업종 원천 미연결,901000,10032,1113000,235000,21.1,2116.752
KRX:003090,003090,대웅,업종 원천 미연결,16860,9803,58142000,19781000,34.0,3333.02
KRX:285130,285130,SK케미칼,업종 원천 미연결,55200,9549,17299000,9903000,57.3,5471.577
KRX:185750,185750,종근당,업종 원천 미연결,68000,9386,13803000,7634000,55.3,5190.458
KRX:034230,034230,파라다이스,업종 원천 미연결,10090,9346,92629000,45928000,49.6,4635.616
KRX:005300,005300,롯데칠성,업종 원천 미연결,98300,9121,9279000,3736000,40.3,3675.763
KRX:009240,009240,한샘,업종 원천 미연결,37400,8802,23534000,7379000,31.4,2763.828
KRX:071320,071320,지역난방공사,업종 원천 미연결,75600,8754,11579000,2600000,22.5,1969.65
KRX:298050,298050,HS효성첨단소재,업종 원천 미연결,172800,7741,4480000,2088000,46.6,3607.306
KRX:137310,137310,에스디바이오센서,업종 원천 미연결,6160,7438,120749000,32038000,26.5,1971.07
KRX:000670,000670,영풍,업종 원천 미연결,39300,7235,18411000,8043000,43.7,3161.695
KRX:456040,456040,OCI,업종 원천 미연결,79300,7099,8952000,4689000,52.4,3719.876
KRX:069260,069260,TKG휴켐스,업종 원천 미연결,16320,6671,40879000,20623000,50.5,3368.855
KRX:001680,001680,대상,업종 원천 미연결,19210,6656,34648000,19501000,56.3,3747.328
KRX:268280,268280,미원에스씨,업종 원천 미연결,130700,6535,5000000,648000,13.0,849.55
KRX:014820,014820,동원시스템즈,업종 원천 미연결,21700,6291,28991000,4822000,16.6,1044.306
KRX:006650,006650,대한유화,업종 원천 미연결,96700,6286,6500000,3505000,53.9,3388.154
KRX:002840,002840,미원상사,업종 원천 미연결,130000,5850,4500000,948000,21.1,1234.35
KRX:0220W0,0220W0,한화머시너리앤서비스홀딩스,업종 원천 미연결,6710,5671,84516000,33534000,39.7,2251.387
KRX:003030,003030,세아제강지주,업종 원천 미연결,103000,4266,4142000,1359000,32.8,1399.248
KRX:002030,002030,아세아,업종 원천 미연결,206500,4252,2059000,681000,33.1,1407.412
KRX:008730,008730,율촌화학,업종 원천 미연결,16260,4032,24800000,10746000,43.3,1745.856
KRX:005420,005420,코스모화학,업종 원천 미연결,10310,3960,38408000,26149000,68.1,2696.76
