date,close,volume,inst_net,frgn_net,frgn_hold,frgn_rate
2024-07-09,102300,591689,45865,-46478,17194765,24.89%
2024-07-10,99600,562642,6904,-39834,17154540,24.84%
2024-07-11,106900,2174768,295185,90,17155053,24.84%
2024-07-12,102000,880959,-63276,-121303,17033071,24.66%
2024-07-15,101600,723747,45530,-46066,16987211,24.59%
2024-07-16,93800,859917,-76284,-62439,16925704,24.51%
2024-07-17,92500,510122,9406,23534,16948026,24.54%
2024-07-18,93400,733266,43593,38964,16987134,24.59%
2024-07-19,96900,523495,51698,-4623,16982183,24.59%
2024-07-22,90000,606937,-18542,-140299,16841283,24.38%
2024-07-23,89300,381302,3798,-20943,16819802,24.35%
2024-07-24,86100,474207,-6762,1284,16820759,24.35%
2024-07-25,85800,561232,18622,15362,16836409,24.38%
2024-07-26,82900,314757,-17348,-1232,16835228,24.37%
2024-07-29,83100,248070,11788,2946,16838486,24.38%
2024-07-30,84800,673541,-23195,-29529,16808166,24.33%
2024-07-31,81000,453862,-20676,-19869,16789080,24.31%
2024-08-01,86400,723981,51603,99632,16891877,24.46%
2024-08-02,83600,536137,-19301,-9575,16882221,24.44%
2024-08-05,72300,642464,7728,-2742,16879976,24.44%
2024-08-06,80200,663656,27099,65982,16946722,24.54%
2024-08-07,77300,411862,-48874,-54165,16892099,24.46%
2024-08-08,74300,449998,-30337,-12772,16879412,24.44%
2024-08-09,83300,1737581,-21313,131738,17011342,24.63%
2024-08-12,85600,598858,-5313,12702,17023300,24.65%
2024-08-13,83100,737012,-32047,-84143,16939215,24.52%
2024-08-14,83700,590598,-19341,-26295,16913563,24.49%
2024-08-16,83000,507999,-10814,-38871,16881164,24.44%
2024-08-19,79000,358051,-8045,19749,16900861,24.47%
2024-08-20,79600,325021,-18872,63321,16963743,24.56%
2024-08-21,81400,452281,18465,-4225,16959186,24.55%
2024-08-22,82200,555431,49804,-11594,16947135,24.54%
2024-08-23,80200,279489,3857,-18144,16928995,24.51%
2024-08-26,83600,723737,21390,169229,17096496,24.75%
2024-08-27,83600,315797,-13849,3014,17099730,24.76%
